"","gs","gene","symbol"
"ENSMUSG00000087431","C-LTMR","ENSMUSG00000087431","Gm16054"
"ENSMUSG00000043635","C-LTMR","ENSMUSG00000043635","Adamts3"
"ENSMUSG00000082361","C-LTMR","ENSMUSG00000082361","Btc"
"ENSMUSG00000029410","C-LTMR","ENSMUSG00000029410","Ppef2"
"ENSMUSG00000029328","C-LTMR","ENSMUSG00000029328","Hnrnpdl"
"ENSMUSG00000035310","C-LTMR","ENSMUSG00000035310",NA
"ENSMUSG00000046079","C-LTMR","ENSMUSG00000046079","Lrrc8d"
"ENSMUSG00000072769","C-LTMR","ENSMUSG00000072769","Gm10419"
"ENSMUSG00000043323","C-LTMR","ENSMUSG00000043323","Fbrsl1"
"ENSMUSG00000042249","C-LTMR","ENSMUSG00000042249","Grk3"
"ENSMUSG00000042216","C-LTMR","ENSMUSG00000042216","Sgsm1"
