"","Gene","Condition","Type"
"777","Arfip2","Ox","A"
"778","Arfrp1","Ox","A"
"779","Arglu1","Ox","A"
"780","Arhgap17","Ox","A"
"781","Arhgap21","Ox","A"
"782","Arhgap22","Ox","A"
"783","Arhgap23","Ox","A"
"784","Arhgap27","Ox","A"
"785","Arhgap28","Ox","A"
"786","Arhgap32","Ox","A"
"787","Arhgap35","Ox","A"
"788","Arhgap44","Ox","A"
"789","Arhgef1","Ox","A"
"790","Arhgef12","Ox","A"
"791","Arhgef17","Ox","A"
"792","Arhgef18","Ox","A"
"793","Arhgef40","Ox","A"
"794","Arhgef7","Ox","A"
"795","Arid1a","Ox","A"
"796","Arid1b","Ox","A"
"797","Arl2","Ox","A"
"798","Arl2bp","Ox","A"
"799","Arl6ip4","Ox","A"
"800","Arl6ip5","Ox","A"
"801","Armc6","Ox","A"
"802","Armc8","Ox","A"
"803","Armcx2","Ox","A"
"804","Armcx3","Ox","A"
"805","Arpc1b","Ox","A"
"806","Arpc2","Ox","A"
"807","Arpc5","Ox","A"
"808","Arpin","Ox","A"
"809","Arpp19","Ox","A"
"810","Arrb2","Ox","A"
"811","Asap1","Ox","A"
"812","Asl","Ox","A"
"813","Asns","Ox","A"
"814","Asph","Ox","A"
"815","Aspscr1","Ox","A"
"816","Ass1","Ox","A"
"817","Atad1","Ox","A"
"818","Atad3","Ox","A"
"819","Atg2a","Ox","A"
"820","Atg2b","Ox","A"
"821","Atg3","Ox","A"
"822","Atic","Ox","A"
"823","Atl1","Ox","A"
"824","Atn1","Ox","A"
"825","Atp13a1","Ox","A"
"826","Atp13a2","Ox","A"
"827","Atp1a1","Ox","A"
"828","Atp1a3","Ox","A"
"829","Atp1b1","Ox","A"
"830","Atp2a2","Ox","A"
"831","Atp2b1","Ox","A"
"832","Atp2b2","Ox","A"
"833","Atp5f1d","Ox","A"
"834","Atp5mg","Ox","A"
"835","Atp5pf","Ox","A"
"836","Atp5po","Ox","A"
"837","Atp6v0d1","Ox","A"
"838","Atp6v1a","Ox","A"
"839","Atp6v1e1","Ox","A"
"840","Atp6v1f","Ox","A"
"841","Atp6v1h","Ox","A"
"842","Atp7a","Ox","A"
"843","Atp9a","Ox","A"
"844","Atpaf1","Ox","A"
