"","V_m_T1_Slot2-9_1_3817","V_m_T2_Slot2-10_1_3814","V_m_T3_Slot2-11_1_3810","V_f_T_Slot2-12_1_3819"
"Wipi2",185876.840035909,206300.707455514,174198.781119813,167085.84411265
"Rab3gap1",14947.4804415111,15403.0203417672,12785.1634764765,11091.9465419592
"Acin1",82538.0307179841,93367.3780335924,87787.6283749509,85853.6762733799
"Arfgap3",31539.4588886026,36884.1752109839,31089.0551929968,32908.7219267883
"Ppa1",54769.8405284367,55264.4521587169,57342.6005001893,64131.4353521152
"Nup214",87975.8165000748,84136.3138474306,95965.0404431468,91817.2734629571
"Znf592",9090.32999999999,9976.25,13148.3,11337.6
"Bag3",793000.084217122,796326.94857428,760510.642952069,693573.031671252
"Lpcat1",101259.4527929,99784.8398168519,108750.311806437,94209.7472455004
"Arfgap1",75101.3436899573,83944.7967327584,85293.9088477377,86452.0189824746
"Aldoa",80921.5727350791,78007.536823138,92540.1113979733,92164.4758372444
"Rpl32",62190.9100994771,44464.8153843008,70834.7952448495,65270.3765408815
"Eea1",31045.2327442945,29716.0281119765,24637.0903467138,33689.0711376294
"Hk1",83460.626889857,85564.6164502625,85211.7693923952,87714.0477941577
"Sync",49614.1747135742,55964.4085427738,57171.0799480879,45435.7255256731
"Txlna",18967.5092311561,18700.9946593976,24410.8999997909,29242.5999997495
"Bcr",20272.6567877933,19835.7706046535,23508.1960937935,20521.6021060296
"Gap43",32368.1126743153,44568.5707074338,35528.9087472032,32482.2239176925
"Nsf",105875.688612796,101355.740883301,101703.410120007,106667.259731534
"H1-2",NA,NA,NA,11640.5
"Atxn2",77259.2733636302,77736.2162308308,77761.4040722284,73250.0816649996
"Eif4b",642175.55900777,707958.759541253,557464.171736861,690629.807919284
"Golga5",143022.128152666,148498.362317827,145252.513723215,135284.730151056
"Pclo",28460.8908649474,27551.7373357733,23269.1507570773,25203.1788027339
"Strap",87954.2168284256,101609.915882721,95546.8423754243,89900.4948033327
"Trim36",32697.7313732675,35489.1346898457,33933.6815093414,33775.4858856558
"Jpt2",48220.1026502073,51766.4585455149,51813.9713458343,67306.592611152
"Prkar2b",121988.922981659,114403.921334537,99949.0428031021,103127.483792368
"Fam177a1",25179.5768842964,27189.7317723375,32589.3976117488,22864.1550162761
"Ncam1",592228.311074177,668080.544762977,551522.394084499,582121.120305427
"Stau2",63550.617073497,57354.3584814548,58532.2399415134,57116.7420397957
"Hnrnpc",100565.598770632,102117.805709528,101581.900337439,106129.231686995
"Ralyl",97268.5455049287,102050.11334086,125042.730857269,112006.704825211
"Pcp4",29894.8135135258,30938.9966637062,35171.6997965181,23822.1764839054
"Uba1",72630.4719113857,73434.8120297715,73507.9955695237,78820.5946399817
"Zc3h11a",16513.9502201859,17764.8231254411,17617.4289998996,16446.0426822274
"Edc3",28692.3262256761,38691.4188454199,25712.7587516908,27907.5294357946
"Aimp2",103550.185214384,104565.899823146,96742.8059701895,113623.098908059
"Trappc12",48139.947507123,41963.4367671343,50093.9942454382,47318.0911470627
"Dzip3",15716.4805919717,16646.6525387223,16673.4706945669,18158.272401519
"Tbcc",12746.3231718699,15065.6977451488,NA,19938.8317209943
