,logFC,AveExpr,t,P.Value,adj.P.Val,B
Bcar1,-0.731286823,13.80229841,-8.1133775,7.52E-07,2.40E-05,6.024980508
Adcyap1,-1.165050603,15.1609109,-8.088027163,7.81E-07,2.48E-05,5.985474942
Icam2,-0.733237978,13.91667345,-8.076874181,7.95E-07,2.52E-05,5.968067942
Znfx1,-0.574919453,14.66078134,-8.064473717,8.10E-07,2.55E-05,5.948694995
Pdcd6ip,-0.421725926,16.7820205,-8.054487045,8.22E-07,2.58E-05,5.933078544
Gfpt1,-0.523860898,15.08307119,-8.046782584,8.32E-07,2.60E-05,5.921021999
Slc7a14,-0.768863671,14.17358572,-8.044586017,8.35E-07,2.60E-05,5.917583225
Arhgap22,-0.788521902,13.3894908,-8.036705633,8.45E-07,2.61E-05,5.905241146
Pde1c,-0.741858012,15.09497042,-8.03669837,8.45E-07,2.61E-05,5.905229768
Habp2,1.251767173,13.94585013,8.031704574,8.52E-07,2.62E-05,5.89740441
Clstn1,-0.526433367,15.49900468,-7.96520791,9.43E-07,2.88E-05,5.792893203
Stam2,-0.552441711,14.50700986,-7.963221314,9.46E-07,2.88E-05,5.789762034
Jph3,0.544814771,14.27157171,7.95881258,9.52E-07,2.88E-05,5.782811369
Top1,-0.592378594,16.47330679,-7.958174605,9.53E-07,2.88E-05,5.781805347
Abca6,0.661818436,15.13145312,7.952995318,9.61E-07,2.90E-05,5.773636172
Riok3,-0.770273783,14.23110331,-7.941302171,9.78E-07,2.94E-05,5.755179907
Adgre5,-0.897735566,13.92586903,-7.910473927,1.03E-06,3.06E-05,5.706435182
Ptpn23,-0.433732355,15.6194497,-7.909686093,1.03E-06,3.06E-05,5.705187847
Actn4,-0.615047828,18.12915378,-7.891728361,1.06E-06,3.13E-05,5.676734213
Snap47,0.465481862,15.98837451,7.883436318,1.07E-06,3.16E-05,5.663581339
Fbxo30,-0.568285498,13.68829557,-7.880364487,1.07E-06,3.16E-05,5.658706491
Map2,0.578248704,16.04351056,7.866393069,1.10E-06,3.22E-05,5.636518838
Wdr24,0.554264403,14.36656263,7.859246888,1.11E-06,3.22E-05,5.625160229
Ddi2,-0.468402932,15.63032734,-7.8588217,1.11E-06,3.22E-05,5.624484195
Ripor1,-0.584963601,13.52891491,-7.858607819,1.11E-06,3.22E-05,5.624144122
Slmap,0.560665686,16.96690196,7.856873762,1.11E-06,3.22E-05,5.621386736
Cfdp1,-0.792976449,15.46632232,-7.840763418,1.14E-06,3.29E-05,5.595750143
Cep170,-0.549026645,16.92739807,-7.836963835,1.15E-06,3.29E-05,5.589698825
Steap4,0.699248006,15.0678968,7.836278155,1.15E-06,3.29E-05,5.588606589
Fyttd1,-1.12978803,13.98468476,-7.832488734,1.16E-06,3.29E-05,5.582569213
Rrbp1,-0.530826245,18.10325125,-7.817471514,1.18E-06,3.36E-05,5.558624841
Ttc5,0.528444135,14.81421758,7.807459678,1.20E-06,3.40E-05,5.542644786
Stbd1,0.534481987,15.46092971,7.787416231,1.24E-06,3.49E-05,5.510613245
Rrp9,-0.867313876,13.8144329,-7.783559984,1.25E-06,3.50E-05,5.504444449
Kdm4b,-1.282135219,12.92800731,-9.779584997,2.08E-06,5.18E-05,5.502246337
Robo2,-0.665802304,13.45827692,-7.77590755,1.26E-06,3.53E-05,5.492197098
Tmx2,0.75194106,17.7821016,7.762947922,1.29E-06,3.59E-05,5.471438122
Chl1,-0.682073761,15.6720916,-7.739708778,1.34E-06,3.71E-05,5.434157368
Oxsr1,-0.432727172,16.20327998,-7.702354213,1.42E-06,3.92E-05,5.374081806
Bcap31,0.550423636,18.36621289,7.695582629,1.43E-06,3.93E-05,5.363171487
Ecm1,-0.915384664,14.15577738,-7.693718423,1.44E-06,3.93E-05,5.360166821
Znf593,-0.725158602,13.39324544,-7.692992231,1.44E-06,3.93E-05,5.358996244
Ptpn12,-0.57176975,14.28315744,-7.66151638,1.51E-06,4.11E-05,5.308191418
Tln1,-0.484062393,17.99611578,-7.659700592,1.52E-06,4.11E-05,5.305256537
Ptprn,-0.87737778,13.86459304,-7.65865283,1.52E-06,4.11E-05,5.303562827
Tbl3,-0.94310111,13.24395149,-7.654290267,1.53E-06,4.12E-05,5.296509149
Map4k5,-0.53823716,13.85234394,-7.639832809,1.57E-06,4.20E-05,5.273115187
Plrg1,-0.592309122,14.26472714,-7.634812863,1.58E-06,4.21E-05,5.26498575
Irf2bp2,-1.230405638,12.70623083,-7.633502234,1.58E-06,4.21E-05,5.262862726
Syt4,-0.979485551,15.80593185,-7.624858276,1.60E-06,4.26E-05,5.248855038
Serpine2,-1.176257505,15.15025455,-7.616586553,1.62E-06,4.29E-05,5.235441192
Camk2b,0.610895889,14.42883426,7.612736629,1.63E-06,4.29E-05,5.229194832
Mpp2,0.571932238,15.10693593,7.612480857,1.63E-06,4.29E-05,5.228779782
Ppfibp1,-0.599829835,14.4884476,-7.608412847,1.64E-06,4.31E-05,5.222177287
Crocc,0.461352909,14.2249229,7.602184115,1.66E-06,4.34E-05,5.212063578
Phactr4,-0.847082257,13.03648312,-7.585377197,1.71E-06,4.44E-05,5.184747895
Tubb1,0.915498169,15.0674202,7.577766298,1.73E-06,4.48E-05,5.172365696
Atl1,0.75374201,17.60667249,7.560416588,1.77E-06,4.58E-05,5.144110292
Nop14,-0.7058382,12.36085216,-7.540699527,1.83E-06,4.71E-05,5.111950311
Clic1,-0.719979992,19.13206788,-7.536709234,1.84E-06,4.73E-05,5.105435482
Mapk8ip3,-0.465224874,15.17498691,-7.529914711,1.86E-06,4.76E-05,5.094337337
Pak2,-0.485185127,15.53593839,-7.521559504,1.89E-06,4.80E-05,5.080681447
Prdx1,-0.65137169,20.08575418,-7.520392627,1.89E-06,4.80E-05,5.078773535
Adgrg1,-0.637320996,15.20193406,-7.513007829,1.91E-06,4.85E-05,5.066694704
Tbc1d15,-0.507059306,14.6752878,-7.502809855,1.95E-06,4.91E-05,5.050002449
