"","Pool_Ox_V_Slot2-17_1_3795","Pool_Ox_V_Slot2-17_1_3808","Pool_Ox_V_Slot2-17_1_3821"
"H2bc12;H2bc14;H2bc21;H2bc3;H2bc4;H2bc7;H2bc9;Hist1h2bp;Hist2h2bb",1425444.77846846,884795.955798824,675387.868266507
"Fam120c",43291.6207904322,44241.7351139094,51048.0737794263
"Zdhhc3",NA,344519,NA
"Rbm3",10204.8,12189,NA
"Vapb",237271.774285141,205702.307255555,233771.647836093
"Kif21a",19649.9471895223,20891.6091579836,20477.2342347928
"Cisd1",NA,165811.323975162,106304.757251233
"Lrrfip1",6432.12105025629,5121.63997080123,8933.54871322668
"Iap",NA,27364.5,33068.2
"Tacc2",28813.0702760357,27033.4939793106,28530.4657590137
"Mtx2",12891.5689663694,16858.3591351009,14177.2360891306
"Tmod2",36831.4436812552,48095.4458022485,41679.0253087202
"Fxr1",48612.9757982145,52450.6969631221,58993.8609502383
"Pdap1",320711.803180144,338814.747958357,393804.857113071
"Smcr8",24077.0214657661,32426.5882025763,29610.9716567928
"Kif5c",49546.5516530954,46878.2105408147,48231.8315573118
"Hnrnpul2",60847.1937293562,56943.0388449081,67444.1930054158
"Rbms1;Rbms3",62536.9981830912,62344.552493272,75455.6018203456
"Pitpnm2",35013.3036471674,32358.7577011467,29443.7966498762
"Kif5a",89128.9563117618,78783.3037826482,92536.6184013231
"Qars1",50723.8867956189,39140.6816359048,35343.7345725645
"Clasp2",53399.6641156922,50475.3528575962,53482.0677744901
"Slc35b2",NA,9417.06,NA
"Banp",NA,NA,6503.01
"Hebp2",23472.9,21654.9,NA
"Mapk1;Mapk3",66597.3847182656,68303.9851085829,57264.2972771727
"Dnttip2",65840.0983953719,83029.0628650831,68800.9999283589
"Sprr1a",NA,3836450.51618993,3775433.17449161
"Ythdc2",14059.3009897336,15478.4279668261,22352.3833301603
"G3bp2",69403.6030021629,71331.8305971383,45941.9701751693
"Atp5f1a",252141.271189958,230828.916245279,233732.243587853
"Cnot2",9362.41193006539,9870.15767724873,11862.0305667552
"Ddx5",62398.253484496,59132.8215395264,56995.4404321985
"Sirt2",23513.8025416095,23205.4121973434,21551.6435296028
"Psme1",16129.5805488644,17066.7871461416,23548.6596277814
"Cend1",2759104.59793442,2980203.05674206,3012905.82233979
"Hmgcs2",24697.4469080853,23067.4306058028,26631.5522122315
